No,Nama Barang,BM,tgl,lokasi
1,Pvc Board 5mm,8,01-03-25,Bilal
2,Pvc Board 5mm,-8,01-03-25,Gudang AA5
3,Pvc Board 9mm,0,01-03-25,Bilal
4,Pvc Board 9mm,0,01-03-25,Gudang AA5
5,Pvc Board 12mm Seven,8,01-03-25,Bilal
6,Pvc Board 12mm Seven,-8,01-03-25,Gudang AA5
7,pvc board 3mm,13,01-03-25,Bilal
8,pvc board 3mm,-13,01-03-25,Gudang AA5
9,Pvc Board 8mm Seven,3,01-03-25,Bilal
10,Pvc Board 8mm Seven,-3,01-03-25,Gudang AA5
11,Pvc Board 15mm Seven,10,01-03-25,Bilal
12,Pvc Board 15mm Seven,-10,01-03-25,Gudang AA5
