No,Nama Barang,BM,tgl,lokasi
1,Poly/Block/Board Kilat 18mm 2F,1,01-05-25,Bilal
2,Poly/Block/Board Kilat 18mm 2F,-1,01-05-25,Gudang AA5
3,Pvc Board 3mm,20,01-05-25,Bilal
4,Pvc Board 3mm,-20,01-05-25,Gudang AA5
5,Pvc Board 9mm,6,01-05-25,Bilal
6,Pvc Board 9mm,-6,01-05-25,Gudang AA5
7,Pvc Board 5mm Seven,20,01-05-25,Bilal
8,Pvc Board 5mm Seven,-20,01-05-25,Gudang AA5
9,Pvc Board 8mm Seven,8,01-05-25,Bilal
10,Pvc Board 8mm Seven,-8,01-05-25,Gudang AA5
11,Pvc Board 12mm Seven,4,01-05-25,Bilal
12,Pvc Board 12mm Seven,-4,01-05-25,Gudang AA5
